epoch,acc,loss,val_acc,val_loss
1,0.9981579,0.0121090842,0.93263155,0.1607801981
2,0.9981579,0.0089533253,0.93,0.2013300995
3,0.99973685,0.0055763354,0.93210524,0.1913639898
4,0.9989474,0.0054165218,0.93,0.2171013076
5,0.99973685,0.0034351801,0.93578947,0.2082400663
6,0.9993421,0.0035861378,0.9263158,0.2619244156
7,0.99973685,0.0028541536,0.93421054,0.211247499
8,0.99973685,0.0020850196,0.93789476,0.1824147122
9,0.99960524,0.0024192414,0.94210523,0.1692353756
10,0.99973685,0.0019761779,0.9373684,0.219913772
11,0.9994737,0.0023590961,0.9289474,0.2587380522
12,1,0.0016080193,0.9384211,0.2008464029
13,0.9998684,0.0016023274,0.93789476,0.2098891278
14,1,0.0011361465,0.93473685,0.2332513668
15,0.9998684,0.0011781861,0.9373684,0.2160486699
16,0.9998684,0.0010646035,0.9373684,0.2171150843
17,1,0.0009666416,0.9373684,0.2242022204
18,0.9985526,0.0048550987,0.93210524,0.2386835786
19,0.9993421,0.0038975752,0.93421054,0.242269591
20,0.9993421,0.0035420235,0.9405263,0.187971662
